text,label_id,label_text
Barbara had taken her baby to the Guam International Airport and had abandoned the baby in the restroom.,0,Argument
On occasion she would leave Brenda unattended.,0,Argument
"It was on December 10, 1979 that Barbara and Brenda were missing from the caretaker's home.",0,Argument
"After the search warrant was issued, a search of Defendant’s house produced no narcotics but a firearm was found in the house.",0,Argument
"Appellee concedes that hearsay evidence may properly be considered by a magistrate in issuing a search warrant, so long as there is a substantial basis for believing the hearsay to be credible.",0,Argument
It was only after the Trial Court took additional testimony at the hearing to suppress that it found the Rico residence is located where numerous other dwelling houses were located.,0,Argument
Barbara is mentally retarded.,0,Argument
"On September 20, 1979, the petitioner, an attorney at law, was appointed by this Court to represent the interests of the said minor, Brenda.",0,Argument
Section 28.50 of the Code provides in relevant part:,0,Argument
"The Affidavit in support of the subject Search Warrant recited that ""CRI"" was known to affiant police officer to be reliable because he had made two previous buys of narcotics under affiant's supervision and control.",0,Argument
g. employs or uses a minor under the age of eighteen years to do or assist in doing any of the acts described in this section; or,0,Argument
"The Affidavit showed that in the two previous buys made by ""CRI"" under",0,Argument
Of course it is for the judge authorizing the warrant to find the facts from the evidence submitted in affidavit form.,0,Argument
"On February 5, 1976, the appellants sued the government of Guam on a cause of action alleging that the Government's failure to renew their teaching contracts was in violation of a 1972 collective bargaining agreement between the Department of Education and the Guam Federation of Teachers.",0,Argument
"Dated this 12th day of December, 1978.",0,Argument
"Unfortunately, there was some confusion at the October 25, 1975 hearing because it was only halfway through the proceedings that the Court was made to realize that the appellant had not been formally charged with the commission of another offense, i.e. by indictment or information, as required by the Code.",0,Argument
"In this appeal, appellant contends: (1) that Guam Criminal and Correctional Code §28.45 and §28.50 are unconstitutionally vague and overbroad, and the prosecution of the appellant thereunder violated her constitutional right to due process of law; and (2) the evidence presented against appellant was insufficient to sustain a conviction because the government failed to produce any evidence of the community standards of Guam; and (3) the evidence presented was insufficient to sustain a conviction because the jury was deprived of the opportunity to consider appellant's performance as a whole in reaching its determination as to whether or not she violated Guam's obscenity law.",0,Argument
"In other words the experience of the police with ""CRI"" was that he could be relied upon to give accurate information.",0,Argument
Duran then placed appellant under arrest.,0,Argument
A person is guilty of misdemeanor if he knowingly or recklessly:,0,Argument
a.sends or brings any obscene material into this territory for sale or distribution;,0,Argument
"b. prepares, published, prints, exhibits, distributes, or offers to distribute any obscene material;",0,Argument
c. possesses any obscene material with intent to distribute it is violation of this article;,0,Argument
"d. sells advertises or disseminates material, whether or not obscene, by advertising, representing or suggesting that is is obscene;",0,Argument
"In language often used by the courts, ""CRI"" was known to be a reliable informant.",0,Argument
"f. distributes or sends to, or exhibits or offers to distribute any obscene material to a minor under the age of eighteen years;",0,Argument
(h) performs an obscene act or otherwise presents obscene exhibition of his body in a public place.,0,Argument
e. presents or directs an obscene performance or participates in that portion thereof which makes it obscene; or,0,Argument
A person is guilty of a misdemeanor if he knowingly or recklessly:,0,Argument
h. performs an obscene act or otherwise presents an obscene exhibition of his body in a public place.,0,Argument
h. performs an obscene act or otherwise presents an obscene exhibition of his body in public place.,0,Argument
"The term utterly without redeeming social value or importance, as used in these instructions, means that the alleged obscene matter must be totally devoid of any redeeming literary, scientific of artistic value or any other of social importance.",0,Argument
"In determining the question of whether the alleged obscene live conduct is utterly without redeeming social importance, you may consider the circumstances of production, presentation, sale, dissemination, distribution or publicity, and particularly, whether such circumstances indicate that the live conduct was being commercially exploited by the defendant for the sake of its prurient appeal.",0,Argument
Such evidence is probative with respect to the nature of the conduct and can justify the conclusion that the conduct is utterly without any redeeming social importance.,0,Argument
The determination of whether matter is obscene is not to be made by weighing its social value or importance against its alleged prurient appeal for it is not obscene unless it is utterly without social value or importance.,0,Argument
There is no question that appellants' claims were not filed within this time period and that no information was supplied to the Attorney General as outlined in §6500.03 of the Act.,0,Argument
(h) performs and obscene act or otherwise presents an obscene exhibition of his body in a public place.,0,Argument
"The constitutional standards provided in Miller and its attendant cases are those which are applicable to the issues raised in this appeal, and it is on this basis that we proceed in our review of appellant's contentions.",0,Argument
"Accordingly, we find that appellant suffered no loss by use of the ""social importance"" standard in §§28.45(a)(3) and 28.45(c) of the Guam Criminal and Correctional Code.",0,Argument
Petition to terminate is GRANTED.,0,Argument
"Having read the Opinion in this appeal, I hereby concur with the result reached by the Superior Court's dismissal of plaintiff's action for failure to comply with the Government of Guam Claims Act be affirmed.",0,Argument
"(a) Patently offensive representation or descriptions of ultimate sexual acts normal or perverted, actual or simulated.",0,Argument
"Miller v. California, supra at 2615, n 6.",1,Non-Argument
Ill,1,Non-Argument
2nd 616.,1,Non-Argument
79-0043A and 79-0044A).,1,Non-Argument
"8 (1973), see also United States v.",1,Non-Argument
"O'Brien, 88 S. Ct. 1673, 1679 (1968).",1,Non-Argument
at 994.,1,Non-Argument
In United States v.,1,Non-Argument
"Smith v. United States, 97 S.Ct.",1,Non-Argument
"1756, 1768 (1977).",1,Non-Argument
(citations omitted) .,1,Non-Argument
"Lamorena III, Esquire.",1,Non-Argument
den.,1,Non-Argument
"1478, 18 L.Ed.",1,Non-Argument
"12 200-ft. Reels of Film, 93 S. Ct. 2665 (1973), decided the same day as Miller, the Court said:",1,Non-Argument
"Miller v. California, 93 S. Ct. 2607, 2616 n.",1,Non-Argument
at 2907.,1,Non-Argument
"Franks v. Delaware, 98 S.Ct.",1,Non-Argument
