document_id,text,meta,created_at,updated_at,annotations_approved_by_id,project_id
305,"After entering the club, Duran and Sabían sat at a table which was located approximately ten to fifteen feet in",{},2020-05-20 21:12:08.768022+00,2020-05-20 21:12:08.768038+00,,12
306,Duran attempted to photograph appellant's performance.,{},2020-05-20 21:12:08.769486+00,2020-05-20 21:12:08.769502+00,,12
307,"He was prevented from doing so by one of the club's waitresses, who informed him that taking pictures in the club was not permitted.",{},2020-05-20 21:12:08.770977+00,2020-05-20 21:12:08.770993+00,,12
308,Duran then placed appellant under arrest.,{},2020-05-20 21:12:08.77245+00,2020-05-20 21:12:08.772466+00,,12
420,"Since Miller permits the imposition of a lessor burden on the prosecution in this phase of the proof of obscenity than did Memoirs,",{},2020-05-20 21:12:08.946664+00,2020-05-20 21:12:08.946681+00,,12
309,"In this appeal, appellant contends: (1) that Guam Criminal and Correctional Code §28.45 and §28.50 are unconstitutionally vague and overbroad, and the prosecution of the appellant thereunder violated her constitutional right to due process of law; and (2) the evidence presented against appellant was insufficient to sustain a conviction because the government failed to produce any evidence of the community standards of Guam; and (3) the evidence presented was insufficient to sustain a conviction because the jury was deprived of the opportunity to consider appellant's performance as a whole in reaching its determination as to whether or not she violated Guam's obscenity law.",{},2020-05-20 21:12:08.774028+00,2020-05-20 21:12:08.774045+00,,12
310,"Upon review of appellant's contentions, we find no basis for reversal, and accordingly AFFIRM the judgment of the trial court.",{},2020-05-20 21:12:08.775776+00,2020-05-20 21:12:08.775793+00,,12
311,"We note first that obscenity can manifest itself in conduct as well as through means of verbal and pictorial expression, Kaplan v. California, 93 S. Ct. 2680, 2683-2684 (1973), and that States have greater power to regulate nonverbal, physical conduct than to suppress depictions or descriptions of the same behavior.",{},2020-05-20 21:12:08.7772+00,2020-05-20 21:12:08.777223+00,,12
312,"Miller v. California, 93 S. Ct. 2607, 2616 n.",{},2020-05-20 21:12:08.778711+00,2020-05-20 21:12:08.778728+00,,12
313,"8 (1973), see also United States v.",{},2020-05-20 21:12:08.780133+00,2020-05-20 21:12:08.78015+00,,12
314,"O'Brien, 88 S. Ct. 1673, 1679 (1968).",{},2020-05-20 21:12:08.781626+00,2020-05-20 21:12:08.781657+00,,12
315,We also recognize that the search for guidance in separating unprotected obscenity from other sexually oriented but constitutionally protected forms of expression has historically been one of the more difficult tasks of reviewing courts.,{},2020-05-20 21:12:08.78309+00,2020-05-20 21:12:08.783107+00,,12
316,"The constitutional standards provided in Miller and its attendant cases are those which are applicable to the issues raised in this appeal, and it is on this basis that we proceed in our review of appellant's contentions.",{},2020-05-20 21:12:08.784545+00,2020-05-20 21:12:08.784561+00,,12
317,"Appellant first makes a broad attack on Guam Criminal and Correctional Code §28.45 and §28.50, alleging that they are unconstitutionally vague and overbroad.",{},2020-05-20 21:12:08.785986+00,2020-05-20 21:12:08.786003+00,,12
318,"Before proceeding to appellant's Miller-based contentions, we.",{},2020-05-20 21:12:08.787424+00,2020-05-20 21:12:08.787441+00,,12
388,What did you observe Miss Daly do on the stage?,{},2020-05-20 21:12:08.896368+00,2020-05-20 21:12:08.896385+00,,12
389,"She was dancing nude, and she exposed herself.",{},2020-05-20 21:12:08.89788+00,2020-05-20 21:12:08.897896+00,,12
319,"observe that the Court expressly provided that it did not adopt as a constitutional standard the ""utterly without redeeming social value"" test (cf. part (c) of the Miller test), incorporated in part three of the test articulated in Memoirs v. Massachusetts, 86 S. Ct. 975, 977 (1966), and provided in §28.45(a)(3) of the Guam Criminal and Correctional Code.",{},2020-05-20 21:12:08.788843+00,2020-05-20 21:12:08.788862+00,,12
320,"A year after Miller was decided, in Hamling v. United States, 94 S. Ct. 2887 (1974), the Court was presented with the question of whether its rejection of the third part of the Memoirs test and its revision in Miller indicated that the Memoirs formulation was determined to be unconstitutionally vague.",{},2020-05-20 21:12:08.790345+00,2020-05-20 21:12:08.790361+00,,12
321,Memoirs was not rejected because it was so vague as to deprive criminal defendants of adequate notice but because it represented a departure from prior definitions of obscenity,{},2020-05-20 21:12:08.791823+00,2020-05-20 21:12:08.791841+00,,12
322,"In Marks v. United States, 97 S. Ct. 990 (1977), referring to the third part of the Memoirs test the Court added that ""clearly it was thought that some conduct which would have gone unpunished under Memoirs would result in conviction under Miller.""",{},2020-05-20 21:12:08.793271+00,2020-05-20 21:12:08.793288+00,,12
323,at 994.,{},2020-05-20 21:12:08.794757+00,2020-05-20 21:12:08.79478+00,,12
324,The petitioners in Marks were indicted for conduct occurring prior to the decision in Miller.,{},2020-05-20 21:12:08.796223+00,2020-05-20 21:12:08.796247+00,,12
325,"Because of this, the Court reasoned that they were entitled to jury instructions requiring the jury to acquit unless it found that the materials involved in the charge were, in accordance with the Memoirs standard, ""utterly without redeeming social value.""",{},2020-05-20 21:12:08.797723+00,2020-05-20 21:12:08.797746+00,,12
326,"Because the tantamount language ""utterly without redeeming social importance"" is expressly a part of the Guam statute, the trial judge in the instant case was required, as was the trial judge in the instant case was required, as was the trial judge in Marks, to instruct the jury on this standard.",{},2020-05-20 21:12:08.799174+00,2020-05-20 21:12:08.799191+00,,12
327,"With receipt of the above instructions, the jury was sufficiently appraised of the more restrictive burden on the government than that required by Miller.",{},2020-05-20 21:12:08.80064+00,2020-05-20 21:12:08.800657+00,,12
328,"Accordingly, we find that appellant suffered no loss by use of the ""social importance"" standard in §§28.45(a)(3) and 28.45(c) of the Guam Criminal and Correctional Code.",{},2020-05-20 21:12:08.802092+00,2020-05-20 21:12:08.802116+00,,12
329,Ill,{},2020-05-20 21:12:08.803535+00,2020-05-20 21:12:08.803552+00,,12
330,We now turn to appellant's contention that Guam's obscenity statute fails to comply with the specificity requirements of Miller v. California and is therefore unconstitutional on its face.,{},2020-05-20 21:12:08.80496+00,2020-05-20 21:12:08.804977+00,,12
331,"The second part (part (b)) of the Miller guidelines for the trier of fact in determining what is patently offensive is ""whether",{},2020-05-20 21:12:08.806446+00,2020-05-20 21:12:08.806463+00,,12
332,Appellant argues that the examples set forth in Miller describe sexual conduct while the Guam statute does not provide any definition or any example of what forms of sexual conduct are being regulated.,{},2020-05-20 21:12:08.807861+00,2020-05-20 21:12:08.807877+00,,12
333,"While there can be no question that Miller requires sexual conduct to be specifically defined by the applicable law, we believe that appellant misconceives the exactitude with which such specificity is to be defined.",{},2020-05-20 21:12:08.809285+00,2020-05-20 21:12:08.809302+00,,12
334,"In Miller and Handing, the Court reiterated its pronouncement in Roth v. United States, 77 S. Ct. 1304 (1957):",{},2020-05-20 21:12:08.810707+00,2020-05-20 21:12:08.810723+00,,12
335,In United States v.,{},2020-05-20 21:12:08.812593+00,2020-05-20 21:12:08.812639+00,,12
336,"12 200-ft. Reels of Film, 93 S. Ct. 2665 (1973), decided the same day as Miller, the Court said:",{},2020-05-20 21:12:08.814276+00,2020-05-20 21:12:08.814295+00,,12
337,The Court in Hamling reconfirmed its renunciation of a rigid standard:,{},2020-05-20 21:12:08.815912+00,2020-05-20 21:12:08.81593+00,,12
338,"Our reading of §28.45 and §28.50 in the light of the Court's statements in Roth, 12 200-ft. Reels and Hamling leads us to conclude that, although the language of the Guam obscenity statue is at variance with the guidelines set out verbatim in Miller, the language is sufficiently specific under Miller as to be absent of any constitutional defect.",{},2020-05-20 21:12:08.817491+00,2020-05-20 21:12:08.817509+00,,12
339,Appellant also contends that judicial interpretation of the Guam obscenity statute to include the Miller specificity requirements does not rectify the statute's unconstitutionality.,{},2020-05-20 21:12:08.819392+00,2020-05-20 21:12:08.819425+00,,12
340,"The rationale for this proposition is that the Miller Court had included in its opinion language to the effect that""... existing state statutes, as construed heretofore or hereafter, may well be adequate.""",{},2020-05-20 21:12:08.821213+00,2020-05-20 21:12:08.821232+00,,12
341,"Miller v. California, supra at 2615, n 6.",{},2020-05-20 21:12:08.822828+00,2020-05-20 21:12:08.822847+00,,12
421,at 2907.,{},2020-05-20 21:12:08.948117+00,2020-05-20 21:12:08.948134+00,,12
1086,These billings as shown are $25.18 and the installation charge is $35.00.,{},2020-05-20 21:14:14.04413+00,2020-05-20 21:14:14.044147+00,,15
342,"Appellant argues that this reference to statutes ""existing"" at the time Miller was decided precludes judicial construction of statutes passed after the decision, and therefore Guam's statute, which had been passed approximately three years after Miller, is not capable of being ""saved"" by judicial construction.",{},2020-05-20 21:12:08.824537+00,2020-05-20 21:12:08.824555+00,,12
343,"It is evident that the Court felt existing state obscenity laws which were otherwise constitutionally valid would continue to be valid, either as written or construed, in the indeterminate future.",{},2020-05-20 21:12:08.826352+00,2020-05-20 21:12:08.82637+00,,12
344,"We find that it would be inconsistent with notions of due process, and therefore inconceivable as in inference, to interpret the Court's meaning to be that an obscenity statute currently active in a State's law may or may not be constitutional, depending solely on whether it was enacted prior to or after the decision in Miller.",{},2020-05-20 21:12:08.827871+00,2020-05-20 21:12:08.827888+00,,12
345,"While we acknowledge that the language of the Guam statute is in large part archaic, we do not find that it is on that basis alone unconstitutional.",{},2020-05-20 21:12:08.829434+00,2020-05-20 21:12:08.829464+00,,12
346,"In an alternative context, appellant contends that even if judicial interpretation of the Guam obscenity statute to include the specificity requirements is valid, such construction does not cure the constitutional defect as applied to appellant.",{},2020-05-20 21:12:08.831151+00,2020-05-20 21:12:08.831196+00,,12
347,"This contention is premised on the proposition that the Guam statute is facially defective, a proposition with which we are not in agreement.",{},2020-05-20 21:12:08.832774+00,2020-05-20 21:12:08.832801+00,,12
348,"Nevertheless, a review and disposition of whether §28.45 and §28.50 are unconstitutional as applied to the specific conduct of appellant is appropriate here.",{},2020-05-20 21:12:08.835094+00,2020-05-20 21:12:08.835111+00,,12
349,It is notable that even appellant concedes that the Guam statute does forbid the presentation of an obscene performance (appellant's brief at p.5).,{},2020-05-20 21:12:08.836751+00,2020-05-20 21:12:08.83677+00,,12
390,In what way?,{},2020-05-20 21:12:08.899383+00,2020-05-20 21:12:08.8994+00,,12
391,"Well, she was laying on the stage on her side, and she lifted one of her legs way up in the air, and with hands, she parted her labia, exposing the inner section.",{},2020-05-20 21:12:08.900808+00,2020-05-20 21:12:08.900825+00,,12
392,id she do anything else?,{},2020-05-20 21:12:08.902301+00,2020-05-20 21:12:08.902318+00,,12
350,"The argument, however, is that the definition of obscenity under Miller is a completely separate requirement from the requirement of a specific definition of the sexual conduct being prohibited, and that any construction of the Guam statute to include the Miller specificity requirements is unconstitutional because the construction could only have been made subsequent to appellant's arrest.",{},2020-05-20 21:12:08.838483+00,2020-05-20 21:12:08.838501+00,,12
351,"The question that must first be answered is whether the phraseology ""obscene act"" and obscene exhibition of his (sic) body"" was sufficient as notice to appellant that her conduct was proscribed.",{},2020-05-20 21:12:08.841625+00,2020-05-20 21:12:08.841643+00,,12
352,Only if it was not does the issue of statutory construction as applied to appellant's conduct become viable for review.,{},2020-05-20 21:12:08.843171+00,2020-05-20 21:12:08.843188+00,,12
353,"We find that the language of the statute provided appellant with adequate notice of the illegality of her conduct, and that therefore it is not incumbent upon us to reach the propounded issue of whether the statute was unconstitutional as construed to apply to appellant’s conduct.",{},2020-05-20 21:12:08.844692+00,2020-05-20 21:12:08.844709+00,,12
354,"The use of the terminology ""obscene act"" and ""obscene exhibition"" is therefore sufficiently definite in legal meaning as to have provided appellant with notice of the charge against her.",{},2020-05-20 21:12:08.846343+00,2020-05-20 21:12:08.846364+00,,12
355,"Accordingly, we conclude that the language of §28.45 and §28.50, and particularly that language of §28.50(y), gave adequate notice to appellant that her conduct was within the prohibition of the statute.",{},2020-05-20 21:12:08.848005+00,2020-05-20 21:12:08.848023+00,,12
356,Appellant's next contention is that the evidence presented against her at trial was insufficient to sustain a conviction in that the Government failed to produce any evidence of the community standards of Guam.,{},2020-05-20 21:12:08.849509+00,2020-05-20 21:12:08.849525+00,,12
357,"In Re Giannini, 69 Cal. 2d 653, 72 Cal. Rptr.",{},2020-05-20 21:12:08.85108+00,2020-05-20 21:12:08.851097+00,,12
358,"655, 446 P.2d 535 (1968), cited by appellant in support of her argument, is inapposite to the current state of the law regarding ""contemporary community standards.""",{},2020-05-20 21:12:08.852609+00,2020-05-20 21:12:08.852626+00,,12
359,"Neither expert testimony on community standards, Hamling v. United States, supra at 2912-2914, nor instructions on precisely what ""community"" to consider, Jenkings v. Georgia, 418 U.S. 153, 157 (1974), are constitutionally required.",{},2020-05-20 21:12:08.854201+00,2020-05-20 21:12:08.854228+00,,12
360,Further the possibility that different juries might reach different conclusions as to the same material does not render a statute unconstitutional.,{},2020-05-20 21:12:08.855736+00,2020-05-20 21:12:08.855752+00,,12
361,"Smith v. United States, 97 S.Ct.",{},2020-05-20 21:12:08.857279+00,2020-05-20 21:12:08.857296+00,,12
362,"1756, 1768 (1977).",{},2020-05-20 21:12:08.85874+00,2020-05-20 21:12:08.858756+00,,12
363,"Regarding the ""contemporary community standards"" to be applied in judging appellant's conduct, the trial judge charged the jury as follows:",{},2020-05-20 21:12:08.860237+00,2020-05-20 21:12:08.860255+00,,12
364,"We hold that this charge to the jury was sufficient and proper, and find no merit in appellant's attack on the failure of the Government to produce evidence of the community standards of Guam.",{},2020-05-20 21:12:08.861748+00,2020-05-20 21:12:08.861765+00,,12
365,Appellant's final contention is that the evidence presented at trial was insufficient to sustain a conviction because the jury was deprived of the opportunity to consider appellant's performance as a whole in reaching its determination as to whether or not appellant violated Guam's obscenity law.,{},2020-05-20 21:12:08.863182+00,2020-05-20 21:12:08.863198+00,,12
366,Section 28.45(a) of the Guam Criminal and Correctional Code states:,{},2020-05-20 21:12:08.864626+00,2020-05-20 21:12:08.864643+00,,12
367,"The Government's witness, Mr. Duran, admitted he did not see appellant's entire performance since he entered the Sandy You club after appellant had begun her dance.",{},2020-05-20 21:12:08.866016+00,2020-05-20 21:12:08.866033+00,,12
368,We also recognize that it is probable that appellant had not completed,{},2020-05-20 21:12:08.867506+00,2020-05-20 21:12:08.867523+00,,12
369,"From this admittedly partially-observed performance, appellant argues that it was impossible for Duran to describe appellant's entire performance to the jury and therefore, it was impossible for the jury to determine whether the performance, as a whole, was in fact obscene.",{},2020-05-20 21:12:08.868933+00,2020-05-20 21:12:08.86895+00,,12
370,"The third criterion of Section 28.45(a) is that the performance must be ""utterly without redeeming social importance.""",{},2020-05-20 21:12:08.870362+00,2020-05-20 21:12:08.870379+00,,12
371,"We emphasize that the performance must not only have social importance to be constitutionally protected, but that the social importance must be sufficient to redeem the obscene, or unprotected part of the performance.",{},2020-05-20 21:12:08.871757+00,2020-05-20 21:12:08.871788+00,,12
372,"Thus, even if appellant's performance opened with a Shakespearean recitation and climaxed with an aria from the ""Barber of Seville,"" a jury could nevertheless have found that, notwithstanding whatever social importance was gleaned from the entire performance, it was insufficient to redeem the obscene act or exhibition.",{},2020-05-20 21:12:08.873161+00,2020-05-20 21:12:08.873177+00,,12
373,"As stated in Kois v. Wisconsin, 92 S.Ct.",{},2020-05-20 21:12:08.874627+00,2020-05-20 21:12:08.874644+00,,12
374,"2245, 2246 (1972), and cited in Miller v. California, supra at 2615:",{},2020-05-20 21:12:08.87608+00,2020-05-20 21:12:08.876097+00,,12
591,at 994.,{},2020-05-20 21:12:32.246629+00,2020-05-20 21:12:32.246647+00,,11
1951,842-78.),{},2020-05-20 21:15:26.192799+00,2020-05-20 21:15:26.192818+00,,10
375,"When the verdict of a jury is challenged, the general rule of applicability is that its verdict must be sustained if there is substantial evidence, taking the view most favorable to the Government, to support it.",{},2020-05-20 21:12:08.877487+00,2020-05-20 21:12:08.877504+00,,12
376,"Glasser v. United States, 62 S.Ct.",{},2020-05-20 21:12:08.879011+00,2020-05-20 21:12:08.879027+00,,12
377,"456, 468 (1942).",{},2020-05-20 21:12:08.880482+00,2020-05-20 21:12:08.880501+00,,12
378,"Based on the evidence before it, the jury could have inferred that the appellant's performance would have been obscene irrespective of its context, and returned a verdict of guilty based on that inference.",{},2020-05-20 21:12:08.882005+00,2020-05-20 21:12:08.882022+00,,12
379,"Because of this, we are not inclined to disturb the verdict as rendered.",{},2020-05-20 21:12:08.883399+00,2020-05-20 21:12:08.883416+00,,12
380,The judgment of the Superior Court is AFFIRMED.,{},2020-05-20 21:12:08.88478+00,2020-05-20 21:12:08.884797+00,,12
381,Footnotes:,{},2020-05-20 21:12:08.886217+00,2020-05-20 21:12:08.886234+00,,12
382,"See, for example, J. Harlan's separate opinion in Interstate Circuit, Inc. v. Dallas, 88 S. Ct. 1298 (1968), wherein he expressed that the ""intractable obscenity problem"" had led to ""a variety of views among the members of the Court unmatched in any other course of constitutional adjudication.""",{},2020-05-20 21:12:08.887627+00,2020-05-20 21:12:08.887644+00,,12
383,"See Roth v. United States, 77 S. Ct. 1304 (1975).",{},2020-05-20 21:12:08.889094+00,2020-05-20 21:12:08.889117+00,,12
384,"i.e. ""all States other than Oregon.""",{},2020-05-20 21:12:08.890546+00,2020-05-20 21:12:08.890563+00,,12
385,"The Court cited laws enacted in Oregon and Hawaii as examples of state laws directed at depiction of specifically defined physical conduct, as opposed to expression.",{},2020-05-20 21:12:08.891973+00,2020-05-20 21:12:08.891989+00,,12
386,A person is guilty of a misdemeanor if he knowingly or recklessly:,{},2020-05-20 21:12:08.89337+00,2020-05-20 21:12:08.893386+00,,12
387,(h) performs an obscene act or otherwise presents obscene exhibition of his body in a public place.,{},2020-05-20 21:12:08.894837+00,2020-05-20 21:12:08.894867+00,,12
393,She was gyrating her pelvis in and out.,{},2020-05-20 21:12:08.903826+00,2020-05-20 21:12:08.903843+00,,12
394,"Reporter's Transcript, pp.6-7.",{},2020-05-20 21:12:08.905341+00,2020-05-20 21:12:08.905357+00,,12
395,Section 28.45 of the Guam Criminal and Correctional Code states:,{},2020-05-20 21:12:08.906822+00,2020-05-20 21:12:08.906839+00,,12
396,"Any material or performance is obscene if considered as a whole, applying contemporary community standards:",{},2020-05-20 21:12:08.908288+00,2020-05-20 21:12:08.908305+00,,12
397,1. its predominant appeal is to prurient interest;,{},2020-05-20 21:12:08.909768+00,2020-05-20 21:12:08.909784+00,,12
398,"2. it goes substantially beyond customary limits of candor in the description or representation of nudity, sex or excrétion; and",{},2020-05-20 21:12:08.911235+00,2020-05-20 21:12:08.911251+00,,12
399,3. it is utterly without redeeming social importance.,{},2020-05-20 21:12:08.912801+00,2020-05-20 21:12:08.912822+00,,12
400,"In a prosection under this article, the question whether the predominant appeal of material or of a performance is to prurient interest shall be determined with reference to average adults, unless it appears from the nature of the material or performance, or from the circumstances of its dissemination, distribution, or exhibition, that it is designed for a clearly defined deviant sexual group or for children, in which case the question of predominant appeal shall be determined with reference to the intended recipient group.",{},2020-05-20 21:12:08.914408+00,2020-05-20 21:12:08.914425+00,,12
401,"When circumstances of production, sale, dissemination, distribution, or publicity indicate that material or a performance is being exploited by the defendant for the sake of its prurient appeal, evidence of such circumstances is admissible in a prosecution under this article upon the upon question whether the material or performance is utterly without redeeming social importance.",{},2020-05-20 21:12:08.915839+00,2020-05-20 21:12:08.915856+00,,12
402,Neither the prosecution nor the defense shall be required to introduce expert witness testimony concerning the obscene character of the material,{},2020-05-20 21:12:08.917741+00,2020-05-20 21:12:08.917757+00,,12
403,Section 28.50 of the Guam Criminal and Correction Code states:,{},2020-05-20 21:12:08.919458+00,2020-05-20 21:12:08.919481+00,,12
404,A person is guilty of misdemeanor if he knowingly or recklessly:,{},2020-05-20 21:12:08.921032+00,2020-05-20 21:12:08.921049+00,,12
405,a.sends or brings any obscene material into this territory for sale or distribution;,{},2020-05-20 21:12:08.922544+00,2020-05-20 21:12:08.92256+00,,12
406,"b. prepares, published, prints, exhibits, distributes, or offers to distribute any obscene material;",{},2020-05-20 21:12:08.924043+00,2020-05-20 21:12:08.924059+00,,12
407,c. possesses any obscene material with intent to distribute it is violation of this article;,{},2020-05-20 21:12:08.925673+00,2020-05-20 21:12:08.925696+00,,12
408,"d. sells advertises or disseminates material, whether or not obscene, by advertising, representing or suggesting that is is obscene;",{},2020-05-20 21:12:08.92808+00,2020-05-20 21:12:08.928096+00,,12
409,e. presents or directs an obscene performance or participates in that portion thereof which makes it obscene; or,{},2020-05-20 21:12:08.930103+00,2020-05-20 21:12:08.930119+00,,12
410,"f. distributes or sends to, or exhibits or offers to distribute any obscene material to a minor under the age of eighteen years;",{},2020-05-20 21:12:08.931921+00,2020-05-20 21:12:08.93194+00,,12
411,g. employs or uses a minor under the age of eighteen years to do or assist in doing any of the acts described in this section; or,{},2020-05-20 21:12:08.933413+00,2020-05-20 21:12:08.93343+00,,12
412,h. performs an obscene act or otherwise presents an obscene exhibition of his body in public place.,{},2020-05-20 21:12:08.934933+00,2020-05-20 21:12:08.934952+00,,12
413,"In Miller, the Court stated that:",{},2020-05-20 21:12:08.936393+00,2020-05-20 21:12:08.936411+00,,12
414,we now confine the permissible scope of .,{},2020-05-20 21:12:08.937927+00,2020-05-20 21:12:08.937944+00,,12
415,regulation to works which depict or describe sexual conduct.,{},2020-05-20 21:12:08.939369+00,2020-05-20 21:12:08.939386+00,,12
416,"That conduct must be specifically defined by the applicable state law, as written or authoritatively construed (footnote omitted).",{},2020-05-20 21:12:08.940852+00,2020-05-20 21:12:08.940869+00,,12
417,"A state offense must also be limited to works which, taken as whole, appeal to the prurient interest in sex, which portray sexual conduct in a patently offensive way, and which, taken as a whole, do not have serious literary, artistic, political, or scientific value.",{},2020-05-20 21:12:08.942305+00,2020-05-20 21:12:08.942322+00,,12
418,"The basic guidelines for the trier of fact must be: (a) whether ""the average person, applying contemporary community standards"" would find that the work, taken as a whole, appeals to the prurient interest, (citations omitted); (b) whether the work depicts or describes, in a patently offensive way, sexual conduct specifically defined by the applicable state law; and (c) whether the work, taken as a",{},2020-05-20 21:12:08.943722+00,2020-05-20 21:12:08.943739+00,,12
419,"Miller v. California, supra at 2615.",{},2020-05-20 21:12:08.945172+00,2020-05-20 21:12:08.945189+00,,12
592,The petitioners in Marks were indicted for conduct occurring prior to the decision in Miller.,{},2020-05-20 21:12:32.2484+00,2020-05-20 21:12:32.248436+00,,11
422,"In order to find that live conduct is obscene, each of the following elements must be proved, and there are five:",{},2020-05-20 21:12:08.949526+00,2020-05-20 21:12:08.949577+00,,12
423,"And five, it is conduct which, taken as a whole is utterly without redeeming social value or importance.",{},2020-05-20 21:12:08.951099+00,2020-05-20 21:12:08.951116+00,,12
424,"The term utterly without redeeming social value or importance, as used in these instructions, means that the alleged obscene matter must be totally devoid of any redeeming literary, scientific of artistic value or any other of social importance.",{},2020-05-20 21:12:08.952549+00,2020-05-20 21:12:08.952565+00,,12
425,The determination of whether matter is obscene is not to be made by weighing its social value or importance against its alleged prurient appeal for it is not obscene unless it is utterly without social value or importance.,{},2020-05-20 21:12:08.953967+00,2020-05-20 21:12:08.953983+00,,12
426,"In determining the question of whether the alleged obscene live conduct is utterly without redeeming social importance, you may consider the circumstances of production, presentation, sale, dissemination, distribution or publicity, and particularly, whether such circumstances indicate that the live conduct was being commercially exploited by the defendant for the sake of its prurient appeal.",{},2020-05-20 21:12:08.955384+00,2020-05-20 21:12:08.9554+00,,12
427,Such evidence is probative with respect to the nature of the conduct and can justify the conclusion that the conduct is utterly without any redeeming social importance.,{},2020-05-20 21:12:08.956767+00,2020-05-20 21:12:08.956783+00,,12
428,"The weight, if any, to which such evidence is entitled is a matter for you to determine.",{},2020-05-20 21:12:08.958188+00,2020-05-20 21:12:08.958204+00,,12
429,"Reporter's Transcript, pp.",{},2020-05-20 21:12:08.959635+00,2020-05-20 21:12:08.959652+00,,12
430,"(a) Patently offensive representation or descriptions of ultimate sexual acts normal or perverted, actual or simulated.",{},2020-05-20 21:12:08.961848+00,2020-05-20 21:12:08.961864+00,,12
431,at 2615.,{},2020-05-20 21:12:08.963462+00,2020-05-20 21:12:08.963479+00,,12
432,Section 28.50 of the Guam Code provides that a person is guilty of a misdemeanor if he:,{},2020-05-20 21:12:08.965032+00,2020-05-20 21:12:08.96505+00,,12
